version,category,text
2.1.45,Feature,Added support for Claude Sonnet 4.6
2.1.45,Feature,"Added support for reading `enabledPlugins` and `extraKnownMarketplaces` from `--add-dir` directories"
2.1.45,Feature,"Added `spinnerTipsOverride` setting to customize spinner tips — configure `tips` with an array of custom tip strings, and optionally set `excludeDefault: true` to show only your custom tips instead of the built-in ones"
2.1.45,Feature,"Added `SDKRateLimitInfo` and `SDKRateLimitEvent` types to the SDK, enabling consumers to receive rate limit status updates including utilization, reset times, and overage information"
2.1.45,Bugfix,"Fixed Agent Teams teammates failing on Bedrock, Vertex, and Foundry by propagating API provider environment variables to tmux-spawned processes (anthropics/claude-code#23561)"
2.1.45,Bugfix,"Fixed sandbox ""operation not permitted"" errors when writing temporary files on macOS by using the correct per-user temp directory (anthropics/claude-code#21654)"
2.1.45,Bugfix,"Fixed Task tool (backgrounded agents) crashing with a `ReferenceError` on completion (anthropics/claude-code#22087)"
2.1.45,Bugfix,Fixed autocomplete suggestions not being accepted on Enter when images are pasted in the input
2.1.45,Bugfix,Fixed skills invoked by subagents incorrectly appearing in main session context after compaction
2.1.45,Bugfix,Fixed excessive `.claude.json.backup` files accumulating on every startup
2.1.45,Bugfix,"Fixed plugin-provided commands, agents, and hooks not being available immediately after installation without requiring a restart"
2.1.45,Improvement,Improved startup performance by removing eager loading of session history for stats caching
2.1.45,Improvement,Improved memory usage for shell commands that produce large output — RSS no longer grows unboundedly with command output size
2.1.45,Improvement,"Improved collapsed read/search groups to show the current file or search pattern being processed beneath the summary line while active"
2.1.45,Improvement,[VSCode] Improved permission destination choice (project/user/session) to persist across sessions
2.1.49,Bugfix,"Fixed Ctrl+C and ESC being silently ignored when background agents are running and the main thread is idle. Pressing twice within 3 seconds now kills all background agents."
2.1.49,Bugfix,Fixed prompt suggestion cache regression that reduced cache hit rates.
2.1.49,Bugfix,"Fixed `plugin enable` and `plugin disable` to auto-detect the correct scope when `--scope` is not specified, instead of always defaulting to user scope"
2.1.49,Feature,"Simple mode (`CLAUDE_CODE_SIMPLE`) now includes the file edit tool in addition to the Bash tool, allowing direct file editing in simple mode."
2.1.49,Feature,"Permission suggestions are now populated when safety checks trigger an ask response, enabling SDK consumers to display permission options"
2.1.49,Change,"Sonnet 4.5 with 1M context is being removed from the Max plan in favor of our frontier Sonnet 4.6 model, which now has 1M context. Please switch in /model."
2.1.49,Bugfix,"Fixed verbose mode not updating thinking block display when toggled via `/config` — memo comparators now correctly detect verbose changes"
2.1.49,Bugfix,Fixed unbounded WASM memory growth during long sessions by periodically resetting the tree-sitter parser
2.1.49,Bugfix,Fixed potential rendering issues caused by stale yoga layout references
2.1.49,Improvement,Improved performance in non-interactive mode (`-p`) by skipping unnecessary API calls during startup
2.1.49,Improvement,"Improved performance by caching authentication failures for HTTP and SSE MCP servers, avoiding repeated connection attempts to servers requiring auth"
2.1.49,Bugfix,Fixed unbounded memory growth during long-running sessions caused by Yoga WASM linear memory never shrinking
2.1.49,Feature,"SDK model info now includes `supportsEffort`, `supportedEffortLevels`, and `supportsAdaptiveThinking` fields so consumers can discover model capabilities."
2.1.49,Feature,"Added `ConfigChange` hook event that fires when configuration files change during a session, enabling enterprise security auditing and optional blocking of settings changes."
2.1.49,Improvement,Improved startup performance by caching MCP auth failures to avoid redundant connection attempts
2.1.49,Improvement,Improved startup performance by reducing HTTP calls for analytics token counting
2.1.49,Improvement,Improved startup performance by batching MCP tool token counting into a single API call
2.1.49,Bugfix,Fixed `disableAllHooks` setting to respect managed settings hierarchy — non-managed settings can no longer disable managed hooks set by policy (#26637)
2.1.49,Bugfix,"Fixed `--resume` session picker showing raw XML tags for sessions that start with commands like `/clear`. Now correctly falls through to the session ID fallback."
2.1.49,Improvement,Improved permission prompts for path safety and working directory blocks to show the reason for the restriction instead of a bare prompt with no context
2.1.47,Bugfix,Fixed FileWriteTool line counting to preserve intentional trailing blank lines instead of stripping them with `trimEnd()`.
2.1.47,Bugfix,"Fixed Windows terminal rendering bugs caused by `os.EOL` (`\r\n`) in display code — line counts now show correct values instead of always showing 1 on Windows."
2.1.47,Improvement,"Improved VS Code plan preview: auto-updates as Claude iterates, enables commenting only when the plan is ready for review, and keeps the preview open when rejecting so Claude can revise."
2.1.47,Bugfix,"Fixed a bug where bold and colored text in markdown output could shift to the wrong characters on Windows due to `\r\n` line endings."
2.1.47,Bugfix,Fixed compaction failing when conversation contains many PDF documents by stripping document blocks alongside images before sending to the compaction API (anthropics/claude-code#26188)
2.1.47,Improvement,"Improved memory usage in long-running sessions by releasing API stream buffers, agent context, and skill state after use"
2.1.47,Improvement,"Improved startup performance by deferring SessionStart hook execution, reducing time-to-interactive by ~500ms."
2.1.47,Bugfix,Fixed an issue where bash tool output was silently discarded on Windows when using MSYS2 or Cygwin shells.
2.1.47,Improvement,Improved performance of `@` file mentions - file suggestions now appear faster by pre-warming the index on startup and using session-based caching with background refresh.
2.1.47,Improvement,Improved memory usage by trimming agent task message history after tasks complete
2.1.47,Improvement,Improved memory usage during long agent sessions by eliminating O(n²) message accumulation in progress updates
